id,kind,level,tag,title,count_question,g_text_audio,g_text_audio_vi,g_text_audio_en,topic,q_text_1,q_point_1,q_answer_1,q_correct_1,explain_vi_1,explain_en_1,q_image_desc_1,question_feature_1,difficulty_1,distractor_trap_1,q_text_2,q_point_2,q_answer_2,q_correct_2,explain_vi_2,explain_en_2,q_image_desc_2,question_feature_2,difficulty_2,distractor_trap_2,created_at
210001_1_20260515_170026_q0,210001_1,2,listen,[1～3]다음을 듣고 알맞은 그림을 고르십시오. (각 2점),1,"여자: 창문이 깨졌네요. 위험하니까 가까이 가지 마세요.
남자: 네, 제가 금방 사람을 불러서 고칠게요. 잠시만 기다려 주세요.
여자: 그럼 저는 유리 조각을 좀 치워야겠어요.","Nữ: Cửa sổ bị vỡ rồi kìa. Nguy hiểm lắm nên đừng lại gần nhé.
Nam: Vâng, tôi sẽ gọi người đến sửa ngay. Xin hãy chờ một lát.
Nữ: Vậy tôi phải dọn dẹp mấy mảnh kính vỡ thôi.","Woman: The window is broken. It's dangerous, so don't go near it.
Man: Okay, I'll call someone to fix it right away. Please wait a moment.
Woman: Then I should clean up the glass pieces.",home_housing,,2,"①
②
③
④",1,"1. Người đàn ông đang gọi điện thoại và người phụ nữ đang quét các mảnh kính vỡ trên sàn. Có thể thấy cửa sổ bị vỡ ở phía sau. (Đáp án đúng)
2. Người đàn ông và người phụ nữ đang nói chuyện trước cửa sổ bị vỡ.
3. Người đàn ông đang sửa cửa sổ và người phụ nữ đang đứng cạnh quan sát.
4. Người phụ nữ định chạm vào cửa sổ bị vỡ và người đàn ông đang ngăn lại.
--------------------
Nam nói sẽ gọi người (남자가 전화), nữ nói sẽ dọn kính (여자가 청소). Tranh 1 khớp nhất.","1. The man is making a phone call, and the woman is sweeping glass pieces on the floor. A broken window is visible in the background. (Correct Answer)
2. A man and a woman are talking in front of a broken window.
3. The man is fixing the window, and the woman is watching beside him.
4. The woman is trying to touch the broken window, and the man is stopping her.
--------------------
The man says he'll call someone (man calling), and the woman says she'll clean up (woman cleaning). Picture 1 is the best match.","(1) 남자가 전화를 하고 있고 여자가 바닥의 유리 조각을 쓸고 있다. 배경에 깨진 창문이 보인다.
(2) 남자와 여자가 깨진 창문 앞에서 이야기를 나누고 있다.
(3) 남자가 창문을 고치고 있고 여자가 옆에서 보고 있다.
(4) 여자가 깨진 창문을 만지려고 하자 남자가 말리고 있다.",qf_match_image,6,"


",,,,,,,,,,,20260515_170026
210001_2_20260515_170026_q0,210001_2,2,listen,[1～3]다음을 듣고 알맞은 그림을 고르십시오. (각 2점),1,"남자: 디지털 매체가 발달하면서 종이 신문을 읽는 독자가 크게 줄어든 것으로 나타났습니다. 10년 전과 비교했을 때 절반 이하로 감소했으며, 특히 젊은 층에서는 신문을 거의 읽지 않는다는 응답이 압도적이었습니다. 반면 온라인 뉴스의 이용률은 매년 꾸준히 상승하고 있습니다.","Nam: Với sự phát triển của phương tiện truyền thông kỹ thuật số, số lượng độc giả đọc báo giấy đã giảm đáng kể. So với 10 năm trước, con số này đã giảm xuống chưa đầy một nửa, đặc biệt là ở giới trẻ, câu trả lời hầu như không đọc báo chiếm ưu thế tuyệt đối. Ngược lại, tỷ lệ sử dụng tin tức trực tuyến đang tăng đều đặn hàng năm.","Man: With the development of digital media, the number of readers of paper newspapers has decreased significantly. Compared to 10 years ago, it has decreased to less than half, and especially among the young, the response that they hardly read newspapers was overwhelming. Conversely, the utilization rate of online news is steadily rising every year.",environment_society,,2,"①
②
③
④",4,"1. Biểu đồ cột. Số lượng độc giả báo giấy tăng so với 10 năm trước. (trap_opposite_meaning)
2. Biểu đồ tròn. Tỷ lệ độc giả báo giấy ở giới trẻ là 80%. (trap_opposite_meaning)
3. Biểu đồ đường. Tỷ lệ sử dụng tin tức trực tuyến giảm hàng năm. (trap_opposite_meaning)
4. Biểu đồ đường. Số lượng độc giả báo giấy giảm mạnh và tỷ lệ sử dụng tin tức trực tuyến tăng đều đặn. (Đáp án đúng)
--------------------
Audio mô tả báo giấy giảm (종이 신문 감소) và tin trực tuyến tăng (온라인 뉴스 상승).","1. Bar chart. The number of paper newspaper readers increased compared to 10 years ago. (trap_opposite_meaning)
2. Pie chart. The percentage of paper newspaper readers among the young is 80%. (trap_opposite_meaning)
3. Line graph. The online news utilization rate is decreasing every year. (trap_opposite_meaning)
4. Line graph. The number of paper newspaper readers is falling sharply, and the online news utilization rate is rising steadily. (Correct Answer)
--------------------
The audio describes a decrease in paper newspapers and an increase in online news.","(1) 막대 그래프. 종이 신문 독자 수가 10년 전보다 증가함.
(2) 원형 그래프. 젊은 층의 종이 신문 독자 비율이 80%임.
(3) 꺾은선 그래프. 온라인 뉴스 이용률이 매년 감소하고 있음.
(4) 꺾은선 그래프. 종이 신문 독자 수는 급격히 하락하고, 온라인 뉴스 이용률은 꾸준히 상승하는 교차 그래프.",qf_match_graph,7,"


",,,,,,,,,,,20260515_170026
210002_20260515_170026_q0,210002,2,listen,[4～8] 다음 대화를 잘 듣고 이어질 수 있는 말을 고르십시오. (각 2점),1,"남자: 팀장님, 다음 주 목요일에 하루 휴가를 써도 될까요? 친척 결혼식이 있어서요.
여자: 목요일요? 그날 중요한 회의가 있는 거 잊으셨어요?
남자: 아, 맞다. 회의가 있었죠. 그러면 __________________","Nam: Thưa trưởng nhóm, thứ Năm tuần sau tôi có thể xin nghỉ phép một ngày được không ạ? Tôi có đám cưới của người thân.
Nữ: Thứ Năm sao? Anh quên là ngày đó có cuộc họp quan trọng rồi à?
Nam: Ả, đúng rồi. Có cuộc họp nhỉ. Vậy thì __________________","Man: Team leader, could I take a day off next Thursday? I have a relative's wedding.
Woman: Thursday? Did you forget that there's an important meeting that day?
Man: Oh, right. There was a meeting. Then __________________",workplace,,2,"결혼식에 꼭 가야겠습니다.
회의 시간을 바꿔 주십시오.
회의가 끝나고 다녀오겠습니다.
휴가 날짜를 조정해 보겠습니다.",4,"1. Tôi nhất định phải đi đám cưới. (trap_shared_noun)
2. Xin hãy đổi giờ họp. (trap_shared_noun)
3. Tôi sẽ đi sau khi cuộc họp kết thúc. (trap_shared_noun)
4. Tôi sẽ thử điều chỉnh lại ngày nghỉ phép. (Đáp án đúng)
--------------------
Khi biết có lịch họp trùng, phản hồi hợp lý nhất là điều chỉnh lại thời gian nghỉ.","1. I must go to the wedding. (trap_shared_noun)
2. Please change the meeting time. (trap_shared_noun)
3. I will go after the meeting ends. (trap_shared_noun)
4. I will try to adjust the vacation date. (Correct Answer)
--------------------
When finding out there's a meeting conflict, the most reasonable response is to adjust the vacation date.",,qf_next_utterance,6,"trap_shared_noun
trap_shared_noun
trap_shared_noun
",,,,,,,,,,,20260515_170026
210003_20260515_170026_q0,210003,2,listen,[9～12] 다음 대화를 잘 듣고 <u>여자</u>가 이어서 할 행동으로 알맞은 것을 고르십시오. (각 2점),1,"여자: 비행기 시간이 얼마 안 남았는데 아직 탑승 안내가 안 나오네.
남자: 그러게. 전광판을 한번 확인해 볼까? 혹시 지연된 건지도 몰라.
여자: 내가 가서 물어보고 올게. 당신은 여기서 짐 좀 봐줘.
남자: 알았어. 조심히 다녀와.","Nữ: Sắp đến giờ bay rồi mà vẫn chưa thấy thông báo lên máy bay nhỉ.
Nam: Ừ nhỉ. Hay để anh kiểm tra bảng điện tử xem sao? Biết đâu nó bị hoãn.
Nữ: Để em đi hỏi thử xem. Anh ở đây trông hành lý nhé.
Nam: Được rồi. Đi cẩn thận nhé.","Woman: There's not much time left before the flight, but there's still no boarding announcement.
Man: You're right. Should I check the electronic board? Maybe it's delayed.
Woman: I'll go and ask. You watch the luggage here.
Man: Okay. Go carefully.",travel,,2,"짐을 지키고 있는다.
전광판을 확인한다.
직원에게 가서 물어본다.
비행기 표를 예매한다.",3,"1. Trông giữ hành lý. (trap_subject_swap - hành động của nam)
2. Kiểm tra bảng điện tử. (trap_shared_noun)
3. Đi hỏi nhân viên. (Đáp án đúng)
4. Đặt vé máy bay. (trap_shared_noun)
--------------------
Nữ nói '내가 가서 물어보고 올게' (Em sẽ đi hỏi rồi quay lại).","1. Watching the luggage. (trap_subject_swap - man's action)
2. Checking the electronic board. (trap_shared_noun)
3. Going to ask the staff. (Correct Answer)
4. Booking a flight ticket. (trap_shared_noun)
--------------------
The woman says 'I'll go and ask'.",,qf_predict_action,7,"trap_subject_swap
trap_shared_noun

trap_shared_noun",,,,,,,,,,,20260515_170026
210004_20260515_170026_q0,210004,2,listen,[13～16]다음을 듣고 내용과 일치하는 것을 고르십시오. (각 2점),1,"여자: 어제 동네에 새로 생긴 전통 시장에 다녀왔어요. 생각보다 깨끗하더라고요.
남자: 그래요? 전통 시장은 주차하기가 불편해서 잘 안 가게 되던데.
여자: 거기는 이번에 주차장도 넓게 만들어서 이용하기 편했어요.
남자: 아, 그래요? 저도 이번 주말에 한번 가 봐야겠네요.","Nữ: Hôm qua tôi đã đi chợ truyền thống mới mở trong khu phố. Nó sạch sẽ hơn tôi nghĩ đấy.
Nam: Thế à? Chợ truyền thống thường bất tiện việc đỗ xe nên tôi ít khi đi.
Nữ: Chỗ đó lần này người ta xây bãi đỗ xe rộng rãi nên sử dụng rất tiện.
Nam: Ồ, vậy sao? Cuối tuần này tôi cũng phải thử đi một chuyến xem sao.","Woman: I went to the newly opened traditional market in the neighborhood yesterday. It was cleaner than I thought.
Man: Really? I don't usually go to traditional markets because parking is inconvenient.
Woman: They built a spacious parking lot this time, so it was convenient to use.
Man: Oh, really? I should try going there this weekend too.",culture_event,,2,"여자는 시장이 깨끗하지 않다고 생각합니다.
남자는 어제 전통 시장에 다녀왔습니다.
시장의 주차 시설이 예전보다 좋아졌습니다.
남자는 주말에 시장에 가지 않을 겁니다.",3,"1. Người phụ nữ nghĩ rằng chợ không sạch sẽ. (trap_neg_없안)
2. Người đàn ông đã đi chợ truyền thống hôm qua. (trap_subject_swap)
3. Cơ sở hạ tầng đỗ xe của chợ đã tốt hơn trước. (Đáp án đúng)
4. Người đàn ông sẽ không đi chợ vào cuối tuần. (trap_neg_없안)
--------------------
Nữ nói bãi đỗ xe rộng rãi, nam nói sẽ đi vào cuối tuần.","1. The woman thinks the market is not clean. (trap_neg_없안)
2. The man went to the traditional market yesterday. (trap_subject_swap)
3. The market's parking facilities have improved. (Correct Answer)
4. The man will not go to the market on the weekend. (trap_neg_없안)
--------------------
The woman says the parking lot is spacious, and the man says he'll go on the weekend.",,qf_match_content,7,"trap_neg_없안
trap_subject_swap

trap_neg_없안",,,,,,,,,,,20260515_170026
210005_20260515_170026_q0,210005,2,listen,[17～20]다음을 듣고 남자의 중심 생각을 고르십시오. (각 2점),1,"여자: 인공지능이 그린 그림이 경매에서 높은 가격에 팔렸대요. 신기하지 않아요?
남자: 글쎄요. 저는 예술이란 인간의 감정과 경험이 담겨 있어야 한다고 생각해요.
여자: 하지만 결과물이 훌륭하다면 그것도 예술로 인정할 수 있지 않을까요?
남자: 단순히 기술로 만들어진 결과물보다는 창작자의 영혼이 느껴지는 작품이 진정한 예술이죠.","Nữ: Nghe nói bức tranh do trí tuệ nhân tạo vẽ đã được bán với giá cao trong một buổi đấu giá đấy. Không phải rất kỳ diệu sao?
Nam: Chà. Tôi nghĩ rằng nghệ thuật phải chứa đựng cảm xúc và trải nghiệm của con người.
Nữ: Nhưng nếu thành quả tuyệt vời thì chẳng phải chúng ta cũng có thể công nhận đó là nghệ thuật sao?
Nam: So với một thành phẩm đơn thuần được tạo ra bởi công nghệ, tác phẩm mà ta cảm nhận được linh hồn của người sáng tạo mới là nghệ thuật đích thực.","Woman: I heard a painting drawn by AI was sold at a high price in an auction. Isn't it amazing?
Man: Well. I think art must contain human emotions and experiences.
Woman: But if the result is great, shouldn't we be able to recognize it as art too?
Man: Rather than a result simply made with technology, a work in which the creator's soul can be felt is true art.",environment_society,,2,"인공지능의 그림도 예술로 인정해야 한다.
예술 작품에는 인간의 감정이 담겨야 한다.
기술의 발달이 예술의 가치를 높여 준다.
경매에서 비싸게 팔리는 그림이 좋은 작품이다.",2,"1. Nên công nhận tranh của AI là nghệ thuật. (trap_opinion_swap - ý kiến của nữ)
2. Tác phẩm nghệ thuật phải chứa đựng cảm xúc con người. (Đáp án đúng)
3. Sự phát triển công nghệ làm tăng giá trị nghệ thuật. (trap_shared_noun)
4. Tranh bán giá cao ở buổi đấu giá là tác phẩm tốt. (trap_shared_noun)
--------------------
Nam nhấn mạnh linh hồn và cảm xúc con người trong nghệ thuật.","1. AI paintings should also be recognized as art. (trap_opinion_swap - woman's opinion)
2. Art works must contain human emotions. (Correct Answer)
3. The development of technology increases the value of art. (trap_shared_noun)
4. Paintings that sell at a high price in auctions are good works. (trap_shared_noun)
--------------------
The man emphasizes the soul and human emotions in art.",,qf_main_opinion,8,"trap_opinion_swap

trap_shared_noun
trap_shared_noun",,,,,,,,,,,20260515_170026
210006_20260515_170026_q0,210006,2,listen,[21 ~ 22] 다음을 듣고 물음에 답하십시오. (각 2점),2,"여자: 이번에 아파트 단지 안에 공동 텃밭을 만든다고 하던데, 민수 씨도 신청할 거예요?
남자: 네, 저는 아이 교육을 위해서라도 꼭 해 보려고요. 직접 채소를 키우면 아이들이 자연을 더 소중히 여길 것 같아서요.
여자: 좋긴 하겠지만 관리하기가 쉽지 않을 텐데요. 벌레도 생기고 물도 자주 줘야 하잖아요.
남자: 물론 손은 많이 가겠지만, 이웃들과 함께 가꾸다 보면 친해질 기회도 되고 수확하는 기쁨도 클 것 같아요.","Nữ: Nghe nói lần này họ sẽ làm một khu vườn cộng đồng trong khu chung cư, anh Minsu cũng sẽ đăng ký chứ?
Nam: Vâng, tôi chắc chắn sẽ thử, dù là vì giáo dục của con cái. Tôi nghĩ nếu tự tay trồng rau, bọn trẻ sẽ trân trọng thiên nhiên hơn.
Nữ: Tốt thì tốt thật đấy nhưng quản lý không dễ đâu. Sẽ có sâu bọ rồi còn phải tưới nước thường xuyên nữa.
Nam: Tất nhiên là tốn nhiều công sức, nhưng tôi nghĩ khi cùng hàng xóm chăm sóc, đây sẽ là cơ hội để thân thiết hơn và niềm vui thu hoạch cũng sẽ lớn lao.","Woman: I heard they are making a community garden in the apartment complex this time. Are you going to apply, Minsu?
Man: Yes, I'm definitely going to try, if only for my children's education. I think if children grow vegetables themselves, they will value nature more.
Woman: It would be good, but it won't be easy to manage. There will be bugs and you'll have to water them often.
Man: Of course it will take a lot of work, but I think as we cultivate it with neighbors, it will be an opportunity to get closer and the joy of harvesting will be great.",environment_society,남자의 중심 생각으로 맞는 것을 고르십시오.,2,"아이들에게는 자연 학습이 가장 중요하다.
공동 텃밭을 가꾸는 것은 여러 가지 장점이 있다.
텃밭을 관리하는 것은 생각보다 어렵지 않다.
채소를 직접 키우면 식비를 줄일 수 있다.",2,"1. Đối với trẻ em, học tập tự nhiên là quan trọng nhất. (trap_shared_noun)
2. Chăm sóc vườn cộng đồng có nhiều ưu điểm. (Đáp án đúng)
3. Quản lý vườn không khó như người ta nghĩ. (trap_neg_없안)
4. Tự trồng rau có thể giảm chi phí ăn uống. (trap_shared_noun)
--------------------
Nam liệt kê nhiều lợi ích: giáo dục trẻ em, kết nối hàng xóm, niềm vui thu hoạch.","1. For children, natural learning is the most important. (trap_shared_noun)
2. Cultivating a community garden has several advantages. (Correct Answer)
3. Managing a garden is not as difficult as one thinks. (trap_neg_없안)
4. Growing vegetables yourself can reduce food costs. (trap_shared_noun)
--------------------
The man lists several benefits: children's education, neighborly connection, joy of harvest.",,qf_main_opinion,8,"trap_shared_noun

trap_neg_없안
trap_shared_noun",들은 내용으로 맞는 것을 고르십시오.,2,"여자는 공동 텃밭을 신청했습니다.
남자는 아이와 함께 텃밭을 가꿔 본 적이 있습니다.
공동 텃밭은 아파트 단지 외부에 생깁니다.
남자는 이웃들과 가까워지는 기회를 기대하고 있습니다.",4,"1. Người phụ nữ đã đăng ký vườn cộng đồng. (trap_subject_swap)
2. Người đàn ông đã từng cùng con chăm sóc vườn. (trap_shared_noun)
3. Vườn cộng đồng sẽ nằm ở bên ngoài khu chung cư. (trap_opposite_meaning)
4. Người đàn ông đang mong đợi cơ hội để trở nên thân thiết với hàng xóm. (Đáp án đúng)
--------------------
Nam nói '이웃들과 함께 가꾸다 보면 친해질 기회도 되고'.","1. The woman applied for the community garden. (trap_subject_swap)
2. The man has experienced cultivating a garden with his child. (trap_shared_noun)
3. The community garden will be located outside the apartment complex. (trap_opposite_meaning)
4. The man is looking forward to the opportunity to get closer to neighbors. (Correct Answer)
--------------------
The man says 'it will be an opportunity to get closer'.",,qf_match_content,8,"trap_subject_swap
trap_shared_noun
trap_opposite_meaning
",20260515_170026
210007_20260515_170026_q0,210007,2,listen,다음은 대담입니다. 잘 듣고 물음에 답하십시오.,2,"여자: 최근 도심 한복판에서 벌을 키우는 '도시 양봉'이 주목받고 있습니다. 박사님, 벌은 보통 산이나 시골에서 키우는 것으로 알고 있는데, 도시에서도 벌을 키우는 게 가능한가요?
남자: 네, 도시는 시골보다 기온이 높고 꽃이 피는 기간이 길어서 오히려 벌이 살기에 유리한 환경일 수 있습니다. 또한 도시의 공원이나 가로수에 꽃이 많기 때문에 꿀을 모으는 데도 큰 문제가 없습니다.
여자: 그렇다면 도시에서 생산된 꿀은 오염될 걱정은 없을까요?
남자: 많은 분이 걱정하시지만, 조사 결과 도시 꿀은 시골 꿀과 비교했을 때 품질 면에서 큰 차이가 없으며 오히려 농약 성분이 검출되지 않아 더 안전하다는 연구 결과도 있습니다.","Nữ: Gần đây, 'nuôi ong đô thị' - việc nuôi ong ngay giữa lòng thành phố đang nhận được sự chú ý. Thưa Tiến sĩ, chúng tôi thường biết rằng ong được nuôi ở núi hoặc nông thôn, vậy việc nuôi ong ở thành phố có khả thi không ạ?
Nam: Vâng, thành phố có nhiệt độ cao hơn nông thôn và thời gian hoa nở dài hơn nên trái lại có thể là môi trường thuận lợi cho ong sinh sống. Ngoài ra, vì có nhiều hoa ở công viên và cây xanh đường phố nên việc thu thập mật cũng không có vấn đề gì lớn.
Nữ: Vậy mật ong được sản xuất ở thành phố liệu có đáng lo về vấn đề ô nhiễm không ạ?
Nam: Nhiều người lo lắng nhưng kết quả khảo sát cho thấy mật ong đô thị không có sự khác biệt lớn về chất lượng so với mật ong nông thôn, thậm chí có kết quả nghiên cứu cho thấy nó an toàn hơn vì không phát hiện thành phần thuốc bảo vệ thực vật.","Woman: Recently, 'urban beekeeping', keeping bees in the middle of the city, is attracting attention. Doctor, I usually know that bees are kept in mountains or rural areas. Is it possible to keep bees in the city?
Man: Yes, cities have higher temperatures than the countryside and the flowering period is longer, so it can actually be a favorable environment for bees to live. Also, since there are many flowers in city parks and street trees, there is no big problem in collecting honey.
Woman: Then, is there any concern about pollution for honey produced in the city?
Man: Many people are worried, but the survey results show that urban honey does not have a big difference in quality compared to rural honey, and there are even research results showing that it is safer because no pesticide components were detected.",environment_society,여자의 태도로 가장 알맞은 것을 고르십시오.,2,"도시 양봉의 실현 가능성을 부정하고 있다.
전문가의 의견을 바탕으로 궁금증을 해소하고 있다.
도시 양봉의 환경적 문제를 강력하게 비판하고 있다.
도시 꿀의 유통 과정에 대해 자세히 설명하고 있다.",2,"1. Phủ nhận khả năng thực hiện nuôi ong đô thị. (trap_neg_없안)
2. Giải tỏa thắc mắc dựa trên ý kiến của chuyên gia. (Đáp án đúng)
3. Chỉ trích mạnh mẽ các vấn đề môi trường của nuôi ong đô thị. (trap_opposite_meaning)
4. Giải thích chi tiết về quy trình lưu thông mật ong đô thị. (trap_shared_noun)
--------------------
Người phụ nữ đặt các câu hỏi thắc mắc để chuyên gia giải đáp.","1. Denying the feasibility of urban beekeeping. (trap_neg_없안)
2. Resolving curiosity based on the expert's opinion. (Correct Answer)
3. Strongly criticizing the environmental problems of urban beekeeping. (trap_opposite_meaning)
4. Explaining the distribution process of urban honey in detail. (trap_shared_noun)
--------------------
The woman asks questions to have the expert resolve her curiosity.",,qf_attitude,9,"trap_neg_없안

trap_opposite_meaning
trap_shared_noun",들은 내용과 일치하는 것을 고르십시오.,2,"도시에는 벌이 이용할 수 있는 꽃이 부족합니다.
시골 꿀보다 도시 꿀에서 농약이 더 많이 검출되었습니다.
도시는 시골보다 기온이 낮아 벌이 살기 어렵습니다.
도시 꿀은 시골 꿀과 비교했을 때 품질이 뒤처지지 않습니다.",4,"1. Thành phố thiếu hoa mà ong có thể sử dụng. (trap_opposite_meaning)
2. Thuốc bảo vệ thực vật được phát hiện ở mật ong đô thị nhiều hơn mật ong nông thôn. (trap_neg_없안)
3. Thành phố có nhiệt độ thấp hơn nông thôn nên ong khó sinh sống. (trap_opposite_meaning)
4. Mật ong đô thị không kém cạnh về chất lượng khi so với mật ong nông thôn. (Đáp án đúng)
--------------------
Nam nói chất lượng không khác biệt lớn (품질 면에서 큰 차이가 없으며).","1. Cities lack flowers that bees can use. (trap_opposite_meaning)
2. More pesticides were detected in urban honey than in rural honey. (trap_neg_없안)
3. Cities have lower temperatures than the countryside, making it difficult for bees to live. (trap_opposite_meaning)
4. Urban honey does not fall behind in quality compared to rural honey. (Correct Answer)
--------------------
The man says there is no big difference in quality.",,qf_match_content,9,"trap_opposite_meaning
trap_neg_없안
trap_opposite_meaning
",20260515_170026
110001_20260515_170026_q0,110001,1,listen,[1～4] 다음을 듣고 <보기>와 같이 물음에 맞는 대답을 고르십시오.,1,어떤 운동을 좋아해요?,Bạn thích môn thể thao nào?,What sport do you like?,hobby_leisure,,3,"운동이 아니에요.
어제 운동했어요.
운동을 안 좋아해요.
축구를 좋아해요.",4,"1. Không phải là vận động. (trap_neg_없안)
2. Hôm qua tôi đã vận động. (trap_shared_noun)
3. Tôi không thích vận động. (trap_neg_없안)
4. Tôi thích bóng đá. (Đáp án đúng)
--------------------
Câu hỏi hỏi về loại vận động yêu thích, đáp án 4 trả lời đúng loại hình thể thao (bóng đá).","1. It's not exercise. (trap_neg_없안)
2. I exercised yesterday. (trap_shared_noun)
3. I don't like exercise. (trap_neg_없안)
4. I like soccer. (Correct Answer)
--------------------
The question asks what sport you like, answer 4 correctly identifies a sport (soccer).",,qf_direct_qa,2,"trap_neg_없안
trap_shared_noun
trap_neg_없안
",,,,,,,,,,,20260515_170026
110002_20260515_170026_q0,110002,1,listen,[5～6] 다음을 듣고 <보기>와 같이 이어지는 말을 고르십시오.,1,생일 축하해요!,Chúc mừng sinh nhật!,Happy birthday!,culture_event,,4,"고맙습니다.
반갑습니다.
축하합니다.
실례합니다.",1,"1. Cảm ơn. (Đáp án đúng)
2. Rất vui được gặp bạn.
3. Chúc mừng. (trap_shared_noun)
4. Xin lỗi/Thất lễ.
--------------------
Khi nhận được lời chúc mừng sinh nhật, phản hồi tự nhiên nhất là lời cảm ơn.","1. Thank you. (Correct Answer)
2. Nice to meet you.
3. Congratulations. (trap_shared_noun)
4. Excuse me.
--------------------
When receiving birthday wishes, the most natural response is a thank you.",,qf_next_utterance,3,"
trap_same_ending
trap_shared_noun
trap_same_ending",,,,,,,,,,,20260515_170026
