id,kind,level,tag,title,count_question,g_text,g_text_vi,g_text_en,topic,q_text_1,q_point_1,q_answer_1,q_correct_1,explain_vi_1,explain_en_1,q_image_desc_1,question_feature_1,difficulty_1,distractor_trap_1,q_text_2,q_point_2,q_answer_2,q_correct_2,explain_vi_2,explain_en_2,q_image_desc_2,question_feature_2,difficulty_2,distractor_trap_2,q_text_3,q_point_3,q_answer_3,q_correct_3,explain_vi_3,explain_en_3,q_image_desc_3,question_feature_3,difficulty_3,distractor_trap_3,created_at
220001_a_20260515_174350_q0,220001_a,2,read,[1～2] (    )에 들어갈 가장 알맞은 것을 고르십시오.,1,,,,shopping_price,비행기표를 미리 (  ) 더 싼 가격으로 여행을 갈 수 있다.,2,"예매하든지
예매하거나
예매해야
예매하다 보면",3,"Nếu đặt trước vé máy bay thì có thể đi du lịch với giá rẻ hơn.
1. Dù đặt (Lựa chọn - không hợp)
2. Hoặc là đặt (Lựa chọn - không hợp)
3. Phải đặt (Điều kiện bắt buộc - Đáp án đúng)
4. Nếu cứ đặt (Quá trình dẫn đến kết quả - không hợp)
--------------------
Cấu trúc '-아/어야' thể hiện điều kiện cần thiết để thực hiện vế sau.","If you book flight tickets in advance, you can travel at a cheaper price.
1. Whether booking (Choice - inappropriate)
2. Or booking (Choice - inappropriate)
3. Must book (Necessary condition - Correct Answer)
4. While booking (Process leading to result - inappropriate)
--------------------
The structure '-아/어야' indicates a necessary condition to achieve the following clause.",,qf_fill_blank,6,"trap_synonym_swap
trap_synonym_swap

trap_same_ending",,,,,,,,,,,,,,,,,,,,,20260515_174350
220001_b_20260515_174350_q0,220001_b,2,read,[16～18] 다음을 읽고 (    )에 들어갈 내용으로 가장 알맞은 것을 고르십시오.,1,,,,science_tech,식물도 동물처럼 소리에 반응한다. 연구에 따르면 식물은 해충이 잎을 갉아먹는 소리를 들으면 스스로 (   ) 성분을 만들어 낸다고 한다. 평소에는 이러한 성분을 내뿜지 않다가 위험을 감지했을 때만 반응하는 것이다.,2,"성장을 돕는
자신을 보호하는
곤충을 유인하는
영양분을 흡수하는",2,"Thực vật cũng phản ứng với âm thanh giống như động vật. Theo nghiên cứu, khi thực vật nghe thấy tiếng sâu bệnh gặm nhấm lá, chúng sẽ tự tạo ra thành phần (   ). Bình thường chúng không tiết ra thành phần này mà chỉ phản ứng khi cảm nhận được nguy hiểm.
1. Giúp tăng trưởng (Sai)
2. Bảo vệ bản thân (Đáp án đúng - vì phản ứng với nguy hiểm từ sâu bệnh)
3. Thu hút côn trùng (Mâu thuẫn - bài nói về đuổi sâu bệnh)
4. Hấp thụ chất dinh dưỡng (Không liên quan)
--------------------
Cụm từ '위험을 감지했을 때' (khi cảm nhận nguy hiểm) là gợi ý cho việc '보호' (bảo vệ).","Plants also react to sound like animals. According to research, when plants hear the sound of pests gnawing on leaves, they produce a (   ) component. Normally, they do not release this component, but react only when they sense danger.
1. Helping growth (Wrong)
2. Protecting themselves (Correct Answer - reacting to danger from pests)
3. Attracting insects (Contradictory - passage is about repelling pests)
4. Absorbing nutrients (Irrelevant)
--------------------
The phrase 'when they sense danger' (위험을 감지했을 때) suggests 'protection' (보호).",,qf_fill_blank,7,"trap_wrong_inference

trap_partial_truth
trap_shared_noun",,,,,,,,,,,,,,,,,,,,,20260515_174350
220001_c_20260515_174350_q0,220001_c,2,read,[28～31] 다음을 읽고 (    )에 들어갈 내용으로 가장 알맞은 것을 고르십시오.,1,,,,society,전통 시장은 대형 마트보다 가격이 저렴하고 정이 넘친다. 하지만 주차 시설이 부족하여 이용하기 불편하다는 단점이 있다. 이러한 불편함을 해결하기 위해 최근 지자체들은 (   ) 노력을 기울이고 있다.,2,"물건 값을 더 낮추려는
주차 공간을 확보하려는
마트 이용을 제한하려는
전통 음식을 홍보하려는",2,"Chợ truyền thống giá rẻ và tràn đầy tình cảm hơn siêu thị lớn. Tuy nhiên, nó có nhược điểm là bất tiện khi sử dụng do thiếu cơ sở hạ tầng bãi đỗ xe. Để giải quyết sự bất tiện này, gần đây các chính quyền địa phương đang nỗ lực (   ).
1. Hạ giá đồ hơn nữa (Sai - nhược điểm nêu ra là bãi đỗ xe)
2. Đảm bảo không gian đỗ xe (Đáp án đúng - giải quyết trực tiếp nhược điểm)
3. Hạn chế sử dụng siêu thị (Sai - cực đoan, không được nhắc tới)
4. Quảng bá món ăn truyền thống (Sai - không liên quan đến bãi đỗ xe)
--------------------
Nỗ lực phải tập trung vào việc giải quyết '주차 시설 부족' (thiếu cơ sở hạ tầng đỗ xe).","Traditional markets are cheaper and more warm-hearted than large supermarkets. However, they have the disadvantage of being inconvenient to use due to a lack of parking facilities. To solve this inconvenience, local governments have recently been making efforts to (   ).
1. Lower the price of goods further (Wrong - the mentioned disadvantage is parking)
2. Secure parking spaces (Correct Answer - directly solves the disadvantage)
3. Limit the use of supermarkets (Wrong - extreme, not mentioned)
4. Promote traditional foods (Wrong - irrelevant to parking)
--------------------
The effort must focus on solving the 'lack of parking facilities' (주차 시설 부족).",,qf_fill_blank,7,"trap_shared_noun

trap_overgeneralize
trap_shared_noun",,,,,,,,,,,,,,,,,,,,,20260515_174350
220002_a_20260515_174350_q0,220002_a,2,read,[3～4] 다음 밑줄 친 부분과 의미가 비슷한 것을 고르십시오.,1,,,,health_medical,아무리 바빠도 건강을 위해서 아침 식사는 <u>먹는 대신에</u> 우유라도 마셔야 한다.,2,"먹는 대로
먹는 만큼
먹지 말고
먹지 못해서",3,"Dù bận thế nào đi nữa, vì sức khỏe, thay vì ăn sáng (không ăn) thì ít nhất cũng phải uống sữa.
1. Ngay khi ăn (Nghĩa khác)
2. Bằng với việc ăn (Mức độ - không hợp)
3. Đừng ăn (mà hãy...) (Đáp án tương đương nhất trong ngữ cảnh thay thế)
4. Vì không thể ăn (Nguyên nhân - không hợp)
--------------------
'-는 대신에' thể hiện sự thay thế. Trong ngữ cảnh khuyên bảo, '-지 말고' (đừng làm A mà làm B) mang ý nghĩa tương đồng nhất.","No matter how busy you are, for your health, instead of eating breakfast, you should at least drink milk.
1. As soon as you eat (Different meaning)
2. As much as you eat (Degree - inappropriate)
3. Don't eat (but...) (Most similar meaning in substitution context)
4. Because you couldn't eat (Cause - inappropriate)
--------------------
'-는 대신에' expresses substitution. In an advising context, '-지 말고' (don't do A but do B) carries the most similar meaning.",,qf_similar_meaning,5,"trap_same_ending
trap_synonym_swap

trap_synonym_swap",,,,,,,,,,,,,,,,,,,,,20260515_174350
220002_b_1_20260515_174350_q0,220002_b_1,2,read,[9] 다음 글 또는 그래프의 내용과 같은 것을 고르십시오.,1,,,,hobby_leisure,,2,"독서를 하는 사람이 가장 많다.
운동보다 유튜브 시청을 더 많이 한다.
게임을 취미로 하는 사람이 절반이 넘는다.
이 조사는 30대를 대상으로 실시했다.",2,"Biểu đồ hình tròn: 'Đời sống sở thích của độ tuổi 20'. 1. Game 35%, 2. Xem Youtube 30%, 3. Tập thể dục 20%, 4. Đọc sách 10%, Khác 5%.
1. Người đọc sách là nhiều nhất. (Sai - ít nhất)
2. Xem Youtube nhiều hơn tập thể dục. (Đúng - 30% > 20%)
3. Người lấy game làm sở thích chiếm hơn một nửa. (Sai - chỉ 35%)
4. Khảo sát này thực hiện trên đối tượng tuổi 30. (Sai - tuổi 20)
--------------------
Đáp án 2 khớp với số liệu trên biểu đồ.","Pie chart: 'Hobby Life of People in their 20s'. 1. Gaming 35%, 2. Watching YouTube 30%, 3. Exercise 20%, 4. Reading 10%, Others 5%.
1. People who read are the most. (Wrong - they are the least)
2. People watch YouTube more than they exercise. (Correct - 30% > 20%)
3. More than half the people take gaming as a hobby. (Wrong - only 35%)
4. This survey was conducted on people in their 30s. (Wrong - people in their 20s)
--------------------
Answer 2 matches the data on the chart.",,qf_graph_match,1,"trap_detail_distort

trap_number_shift
trap_detail_distort",,,,,,,,,,,,,,,,,,,,,20260515_174350
220002_b_2_20260515_174350_q0,220002_b_2,2,read,[10] 다음 글 또는 그래프의 내용과 같은 것을 고르십시오.,1,,,,culture_traditional,,2,"축제는 오전부터 시작된다.
지하철을 이용하는 것이 좋다.
돗자리는 축제장에서 빌려 준다.
행사는 매년 5월에 열린다.",2,"Thông báo: 'Lễ hội pháo hoa Seoul lần thứ 5'. Thời gian: 5/10/2024, 7h-9h tối. Địa điểm: Công viên Hangang Yeouido. Lưu ý: Mang theo chiếu, mang rác về. Giao thông: Khuyên dùng ga Yeouinaru tuyến số 5.
1. Lễ hội bắt đầu từ buổi sáng. (Sai - bắt đầu lúc 7h tối)
2. Nên sử dụng tàu điện ngầm. (Đúng - khuyên dùng ga Yeouinaru)
3. Chiếu sẽ được cho mượn tại nơi lễ hội. (Sai - phải mang theo/지참)
4. Sự kiện được tổ chức vào tháng 5 hàng năm. (Sai - tổ chức vào tháng 10)
--------------------
Đáp án 2 khớp với phần '교통 안내' (Hướng dẫn giao thông).","Notice: 'The 5th Seoul Fireworks Festival'. Date: October 5, 2024, 7 PM - 9 PM. Place: Yeouido Hangang Park. Notes: Bring a mat, take back your trash. Transportation: Recommended to use Yeouinaru Station, Line 5.
1. The festival starts from the morning. (Wrong - starts at 7 PM)
2. It is good to use the subway. (Correct - recommended to use Yeouinaru Station)
3. Mats are lent at the festival site. (Wrong - must be brought/지참)
4. The event is held every May. (Wrong - held in October)
--------------------
Answer 2 matches the 'Transportation' section.",,qf_graph_match,1,"trap_detail_distort

trap_detail_distort
trap_number_shift",,,,,,,,,,,,,,,,,,,,,20260515_174350
220002_b_3_20260515_174350_q0,220002_b_3,2,read,[11～12] 다음 글 또는 그래프의 내용과 같은 것을 고르십시오.,1,,,,travel,,2,"2023년에 여행객 수가 가장 적었다.
해외여행객 수는 매년 줄어들고 있다.
2022년 여행객은 200만 명을 넘었다.
올해 여행객은 작년보다 많을 것이다.",4,"Biểu đồ cột: 'Thay đổi số lượng khách du lịch nước ngoài theo năm'. 2021: 500k, 2022: 1.2M, 2023: 2.5M, 2024 (dự kiến): 3M.
1. Số khách ít nhất vào năm 2023. (Sai - 2021 ít nhất)
2. Số lượng khách du lịch nước ngoài đang giảm dần hàng năm. (Sai - đang tăng)
3. Lượng khách năm 2022 đã vượt quá 2 triệu người. (Sai - chỉ 1.2M)
4. Lượng khách năm nay (2024) sẽ nhiều hơn năm ngoái. (Đúng - 3M > 2.5M)
--------------------
Đáp án 4 khớp với xu hướng tăng và số liệu dự kiến của năm 2024 so với 2023.","Bar chart: 'Change in Number of Overseas Travelers by Year'. 2021: 500k, 2022: 1.2M, 2023: 2.5M, 2024 (expected): 3M.
1. The number of travelers was the lowest in 2023. (Wrong - 2021 was lowest)
2. The number of overseas travelers is decreasing every year. (Wrong - it's increasing)
3. Travelers in 2022 exceeded 2 million. (Wrong - only 1.2M)
4. Travelers this year (2024) will be more than last year. (Correct - 3M > 2.5M)
--------------------
Answer 4 matches the increasing trend and the expected 2024 data compared to 2023.",,qf_graph_match,2,"trap_detail_distort
trap_detail_distort
trap_number_shift
",,,,,,,,,,,,,,,,,,,,,20260515_174350
220002_c_20260515_174350_q0,220002_c,2,read,[32～34] 다음을 읽고 내용이 같은 것을 고르십시오.,1,최근 스마트폰 사용 시간이 늘어나면서 눈의 피로를 호소하는 사람들이 많아졌다. 특히 잠자기 전 어두운 곳에서 스마트폰을 보는 것은 시력 저하의 주요 원인이 된다. 전문가들은 눈 건강을 위해 화면 밝기를 조절하고 정기적으로 눈을 쉬게 해 주는 것이 중요하다고 조언한다. 또한 눈에 좋은 성분이 포함된 음식을 섭취하는 것도 도움이 된다.,"Gần đây, khi thời gian sử dụng điện thoại thông minh tăng lên, nhiều người than phiền về tình trạng mỏi mắt. Đặc biệt, việc xem điện thoại ở nơi tối trước khi đi ngủ là nguyên nhân chính gây suy giảm thị lực. Các chuyên gia khuyên rằng để bảo vệ sức khỏe đôi mắt, việc điều chỉnh độ sáng màn hình và cho mắt nghỉ ngơi định kỳ là rất quan trọng. Ngoài ra, việc hấp thụ thực phẩm chứa thành phần tốt cho mắt cũng rất hữu ích.","Recently, as smartphone usage time has increased, many people have complained of eye fatigue. Especially, looking at a smartphone in a dark place before going to sleep is a major cause of vision deterioration. Experts advise that to protect eye health, it is important to adjust screen brightness and rest the eyes regularly. In addition, consuming foods containing ingredients good for the eyes is also helpful.",health_medical,,2,"어두운 곳에서 스마트폰을 보면 눈에 좋다.
스마트폰은 눈 건강과 아무런 상관이 없다.
눈 건강을 위해 정기적으로 휴식을 취해야 한다.
화면 밝기는 눈 건강에 영향을 주지 않는다.",3,"1. Xem điện thoại ở nơi tối tốt cho mắt. (Sai - gây hại)
2. Điện thoại thông minh không có bất kỳ liên quan nào đến sức khỏe mắt. (Sai - có liên quan mật thiết)
3. Phải nghỉ ngơi định kỳ để bảo vệ sức khỏe mắt. (Đúng - khớp nội dung)
4. Độ sáng màn hình không ảnh hưởng đến sức khỏe mắt. (Sai - có ảnh hưởng)
--------------------
Đáp án 3 khớp với lời khuyên '정기적으로 눈을 쉬게 해 주는 것이 중요하다'.","1. Looking at a smartphone in a dark place is good for the eyes. (Wrong - it's harmful)
2. Smartphones have nothing to do with eye health. (Wrong - they are closely related)
3. You must take periodic rests for eye health. (Correct - matches content)
4. Screen brightness does not affect eye health. (Wrong - it does affect it)
--------------------
Answer 3 matches the advice 'it is important to rest the eyes regularly'.",,qf_content_match,7,"trap_neg_없안
trap_shared_noun

trap_partial_truth",,,,,,,,,,,,,,,,,,,,,20260515_174350
220003_a_1_20260515_174350_q0,220003_a_1,2,read,[5～6] 다음은 무엇에 대한 글인지 고르십시오.,1,,,,environment,,2,"환경 보호
교통 안전
화재 예방
이웃 사랑",1,"1. Bảo vệ môi trường (Đáp án đúng - dựa trên '맑은 물, 푸른 산' và '자연을 보호합시다')
2. An toàn giao thông
3. Phòng chống hỏa hoạn
4. Tình yêu hàng xóm
--------------------
Thông điệp '맑은 물, 푸른 산' (Nước trong, núi xanh) và '자연 보호' (Bảo vệ tự nhiên) chỉ ra chủ đề môi trường.","1. Environmental protection (Correct Answer - based on 'Clear water, blue mountains' and 'Let's protect nature')
2. Traffic safety
3. Fire prevention
4. Neighborly love
--------------------
The messages 'Clear water, blue mountains' (맑은 물, 푸른 산) and 'Nature protection' (자연 보호) indicate the theme of environment.",,qf_topic_identify,1,"
trap_similar_word
trap_similar_word
trap_shared_noun",,,,,,,,,,,,,,,,,,,,,20260515_174350
220003_a_2_20260515_174350_q0,220003_a_2,2,read,[7～8] 다음은 무엇에 대한 글인지 고르십시오.,1,,,,shopping_price,,2,"침대
에어컨
텔레비전
세탁기",1,"1. Giường (Đáp án đúng - dựa trên ảnh giường và '꿀잠', '편안한 침대')
2. Điều hòa
3. Ti vi
4. Máy giặt
--------------------
Từ khóa '꿀잠' (giấc ngủ ngon) và '편안한 침대' (giường thoải mái) xác định sản phẩm là giường.","1. Bed (Correct Answer - based on bed image and 'Deep sleep', 'Comfortable bed')
2. Air conditioner
3. Television
4. Washing machine
--------------------
The keywords 'Deep sleep' (꿀잠) and 'Comfortable bed' (편안한 침대) identify the product as a bed.",,qf_topic_identify,1,"
trap_similar_word
trap_shared_noun
trap_shared_noun",,,,,,,,,,,,,,,,,,,,,20260515_174350
